id,value
C/C.query.Literal,1214
C/C.query.Match,3748
C/C.query.Maximum,843
C/C.query.methods,
C/C.query.methods.add,593
C/C.query.methods.and,330
C/C.query.methods.average,287
C/C.query.methods.count,277
C/C.query.methods.distinct,292
C/C.query.methods.div,595
C/C.query.methods.eq,594
C/C.query.methods.fn,460
C/C.query.methods.gt,603
C/C.query.methods.gte,625
C/C.query.methods.iff,748
C/C.query.methods.isa,461
C/C.query.methods.lt,597
C/C.query.methods.lte,619
C/C.query.methods.max,283
C/C.query.methods.min,283
C/C.query.methods.mod,591
C/C.query.methods.mul,603
C/C.query.methods.neq,599
C/C.query.methods.not,386
C/C.query.methods.or,323
C/C.query.methods.orderby,307
C/C.query.methods.range,772
C/C.query.methods.select,296
C/C.query.methods.stddev,363
C/C.query.methods.sub,600
C/C.query.methods.sum,280
C/C.query.methods.update,307
C/C.query.methods.variance,335
C/C.query.methods.where,299
C/C.query.methods.xor,354
C/C.query.methods._,264
C/C.query.Minimum,843
C/C.query.Not,1554
C/C.query.Or,970
C/C.query.Query,13896
C/C.query.Range,1594
C/C.query.StringUtil,4130
C/C.query.Sum,791
C/C.query.Variable,1124
C/C.query.Variance,1876
C/C.query.Xor,1101
C/C.scale,
C/C.scale.IScaleMap,2105
C/C.scale.LinearScale,1316
C/C.scale.LogScale,3151
C/C.scale.OrdinalScale,3770
C/C.scale.QuantileScale,2435
C/C.scale.QuantitativeScale,4839
C/C.scale.RootScale,1756
C/C.scale.Scale,4268
C/C.scale.ScaleType,1821
C/C.scale.TimeScale,5833
C/C.util,
C/C.util.Arrays,8258
C/C.util.Colors,10001
C/C.util.Dates,8217
C/C.util.Displays,12555
C/C.util.Filter,2324
C/C.util.Geometry,10993
C/C.util.heap,
C/C.util.heap.FibonacciHeap,9354
C/C.util.heap.HeapNode,1233
C/C.util.IEvaluable,335
C/C.util.IPredicate,383
C/C.util.IValueProxy,874
C/C.util.math,
C/C.util.math.DenseMatrix,3165
C/C.util.math.IMatrix,2815
C/C.util.math.id,value
C/C,
C/C.Fonction-commerciale,
C/C.Fonction-commerciale.cluster,
C/C.Fonction-commerciale.Performance-commerciale.AgglomerativeCluster,3938
C/C.Fonction-commerciale.Performance-commerciale.CommunityStructure,3812
C/C.Fonction-commerciale.Performance-commerciale.HierarchicalCluster,6714
C/C.Fonction-commerciale.Performance-commerciale.MergeEdge,743
C/C.Fonction-commerciale.graph,
C/C.Fonction-commerciale.graph.BetweennessCentrality,3534
C/C.Fonction-commerciale.graph.LinkDistance,5731
C/C.Fonction-commerciale.graph.MaxFlowMinCut,7840
C/C.Fonction-commerciale.graph.ShortestPaths,5914
C/C.Fonction-commerciale.graph.SpanningTree,3416
C/C.Fonction-commerciale.optimization,
C/C.Fonction-commerciale.optimization.AspectRatioBanker,7074
C/C.animate,
C/C.animate.Easing,17010
C/C.animate.FunctionSequence,5842
C/C.animate.interpolate,
C/C.animate.interpolate.ArrayInterpolator,1983
C/C.animate.interpolate.ColorInterpolator,2047
C/C.animate.interpolate.DateInterpolator,1375
C/C.animate.interpolate.Interpolator,8746
C/C.animate.interpolate.MatrixInterpolator,2202
C/C.animate.interpolate.NumberInterpolator,1382
C/C.animate.interpolate.ObjectInterpolator,1629
C/C.animate.interpolate.PointInterpolator,1675
C/C.animate.interpolate.RectangleInterpolator,2042
C/C.animate.ISchedulable,1041
C/C.animate.Parallel,5176
C/C.animate.Pause,449
C/C.animate.Scheduler,5593
C/C.animate.Sequence,5534
C/C.animate.Transition,9201
C/C.animate.Transitioner,19975
C/C.animate.TransitionEvent,1116
C/C.animate.Tween,6006
C/C.data,
C/C.data.converters,
C/C.data.converters.Converters,721
C/C.data.converters.DelimitedTextConverter,4294
C/C.data.converters.GraphMLConverter,9800
C/C.data.converters.IDataConverter,1314
C/C.data.converters.JSONConverter,2220
C/C.data.DataField,1759
C/C.data.DataSchema,2165
C/C.data.DataSet,586
C/C.data.DataSource,3331
C/C.data.DataTable,772
C/C.data.DataUtil,3322
C/C.display,
C/C.display.DirtySprite,8833
C/C.display.LineSprite,1732
C/C.display.RectSprite,3623
C/C.display.TextSprite,10066
C/C.flex,
C/C.flex.C/CVis,4116
C/C.physics,
C/C.physics.DragForce,1082
C/C.physics.GravityForce,1336
C/C.physics.IForce,319
C/C.physics.NBodyForce,10498
C/C.physics.Particle,2822
C/C.physics.Simulation,9983
C/C.physics.Spring,2213
C/C.physics.SpringForce,1681
C/C.query,
C/C.query.AggregateExpression,1616
C/C.query.And,1027
C/C.query.Arithmetic,3891
C/C.query.Average,891
C/C.query.BinaryExpression,2893
C/C.query.Comparison,5103
C/C.query.CompositeExpression,3677
C/C.query.Count,781
C/C.query.DateUtil,4141
C/C.query.Distinct,933
C/C.query.Expression,5130
C/C.query.ExpressionIterator,3617
C/C.query.Fn,3240
C/C.query.If,2732
C/C.query.IsA,2039
C/C.query.Literal,1214
C/C.query.Match,3748
C/C.query.Maximum,843
C/C.query.methods,
C/C.query.methods.add,593
C/C.query.methods.and,330
C/C.query.methods.average,287
C/C.query.methods.count,277
C/C.query.methods.distinct,292
C/C.query.methods.div,595
C/C.query.methods.eq,594
C/C.query.methods.fn,460
C/C.query.methods.gt,603
C/C.query.methods.gte,625
C/C.query.methods.iff,748
C/C.query.methods.isa,461
C/C.query.methods.lt,597
C/C.query.methods.lte,619
C/C.query.methods.max,283
C/C.query.methods.min,283
C/C.query.methods.mod,591
C/C.query.methods.mul,603
C/C.query.methods.neq,599
C/C.query.methods.not,386
C/C.query.methods.or,323
C/C.query.methods.orderby,307
C/C.query.methods.range,772
C/C.query.methods.select,296
C/C.query.methods.stddev,363
C/C.query.methods.sub,600
C/C.query.methods.sum,280
C/C.query.methods.update,307
C/C.query.methods.variance,335
C/C.query.methods.where,299
C/C.query.methods.xor,354
C/C.query.methods._,264
C/C.query.Minimum,843
C/C.query.Not,1554
C/C.query.Or,970
C/C.query.Query,13896
C/C.query.Range,1594
C/C.query.StringUtil,4130
C/C.query.Sum,791
C/C.query.Variable,1124
C/C.query.Variance,1876
C/C.query.Xor,1101
C/C.scale,
C/C.scale.IScaleMap,2105
C/C.scale.LinearScale,1316
C/C.scale.LogScale,3151
C/C.scale.OrdinalScale,3770
C/C.scale.QuantileScale,2435
C/C.scale.QuantitativeScale,4839
C/C.scale.RootScale,1756
C/C.scale.Scale,4268
C/C.scale.ScaleType,1821
C/C.scale.TimeScale,5833
C/C.util,
C/C.util.Arrays,8258
C/C.util.Colors,10001
C/C.util.Dates,8217
C/C.util.Displays,12555
C/C.util.Filter,2324
C/C.util.Geometry,10993
C/C.util.heap,
C/C.util.heap.FibonacciHeap,9354
C/C.util.heap.HeapNode,1233
C/C.util.IEvaluable,335
C/C.util.IPredicate,383
C/C.util.IValueProxy,874
C/C.util.math,
C/C.util.math.DenseMatrix,3165
C/C.util.math.IMatrix,2815
C/C.util.math.SparseMatrix,3366
C/C.util.Maths,17705
C/C.util.Orientation,1486
C/C.util.palette,
C/C.util.palette.ColorPalette,6367
C/C.util.palette.Palette,1229
C/C.util.palette.ShapePalette,2059
C/C.util.palette.SizePalette,2291
C/C.util.Property,5559
C/C.util.Shapes,19118
C/C.util.Sort,6887
C/C.util.Stats,6557
C/C.util.Strings,22026
C/C.vis,
C/C.vis.axis,
C/C.vis.axis.Axes,1302
C/C.vis.axis.Axis,24593
C/C.vis.axis.AxisGridLine,652
C/C.vis.axis.AxisLabel,636
C/C.vis.axis.CartesianAxes,6703
C/C.vis.controls,
C/C.vis.controls.AnchorControl,2138
C/C.vis.controls.ClickControl,3824
C/C.vis.controls.Control,1353
C/C.vis.controls.ControlList,4665
C/C.vis.controls.DragControl,2649
C/C.vis.controls.ExpandControl,2832
C/C.vis.controls.HoverControl,4896
C/C.vis.controls.IControl,763
C/C.vis.controls.PanZoomControl,5222
C/C.vis.controls.SelectionControl,7862
C/C.vis.controls.TooltipControl,8435
C/C.vis.data,
C/C.vis.data.Data,20544
C/C.vis.data.DataList,19788
C/C.vis.data.DataSprite,10349
C/C.vis.data.EdgeSprite,3301
C/C.vis.data.NodeSprite,19382
C/C.vis.data.render,
C/C.vis.data.render.ArrowType,698
C/C.vis.data.render.EdgeRenderer,5569
C/C.vis.data.render.IRenderer,353
C/C.vis.data.render.ShapeRenderer,2247
C/C.vis.data.ScaleBinding,11275
C/C.vis.data.Tree,7147
C/C.vis.data.TreeBuilder,9930
C/C.vis.events,
C/C.vis.events.DataEvent,2313
C/C.vis.events.SelectionEvent,1880
C/C.vis.events.TooltipEvent,1701
C/C.vis.events.VisualizationEvent,1117
C/C.vis.legend,
C/C.vis.legend.Legend,20859
C/C.vis.legend.LegendItem,4614
C/C.vis.legend.LegendRange,10530
C/C.vis.operator,
C/C.vis.operator.distortion,
C/C.vis.operator.distortion.BifocalDistortion,4461
C/C.vis.operator.distortion.Distortion,6314
C/C.vis.operator.distortion.FisheyeDistortion,3444
C/C.vis.operator.encoder,
C/C.vis.operator.encoder.ColorEncoder,3179
C/C.vis.operator.encoder.Encoder,4060
C/C.vis.operator.encoder.PropertyEncoder,4138
C/C.vis.operator.encoder.ShapeEncoder,1690
C/C.vis.operator.encoder.SizeEncoder,1830
C/C.vis.operator.filter,
C/C.vis.operator.filter.FisheyeTreeFilter,5219
C/C.vis.operator.filter.GraphDistanceFilter,3165
C/C.vis.operator.filter.VisibilityFilter,3509
C/C.vis.operator.IOperator,1286
C/C.vis.operator.label,
C/C.vis.operator.label.Labeler,9956
C/C.vis.operator.label.RadialLabeler,3899
C/C.vis.operator.label.StackedAreaLabeler,3202
C/C.vis.operator.layout,
C/C.vis.operator.layout.AxisLayout,6725
C/C.vis.operator.layout.BundledEdgeRouter,3727
C/C.vis.operator.layout.CircleLayout,9317
C/C.vis.operator.layout.CirclePackingLayout,12003
C/C.vis.operator.layout.DendrogramLayout,4853
C/C.vis.operator.layout.ForceDirectedLayout,8411
C/C.vis.operator.layout.IcicleTreeLayout,4864
C/C.vis.operator.layout.IndentedTreeLayout,3174
C/C.vis.operator.layout.Layout,7881
C/C.vis.operator.layout.NodeLinkTreeLayout,12870
C/C.vis.operator.layout.PieLayout,2728
C/C.vis.operator.layout.RadialTreeLayout,12348
C/C.vis.operator.layout.RandomLayout,870
C/C.vis.operator.layout.StackedAreaLayout,9121
C/C.vis.operator.layout.TreeMapLayout,9191
C/C.vis.operator.Operator,2490
C/C.vis.operator.OperatorList,5248
C/C.vis.operator.OperatorSequence,4190
C/C.vis.operator.OperatorSwitch,2581
C/C.vis.operator.SortOperator,2023
C/C.vis.Visualization,16540
,3366
C/C.util.Maths,17705
C/C.util.Orientation,1486
C/C.util.palette,
C/C.util.palette.ColorPalette,6367
C/C.util.palette.Palette,1229
C/C.util.palette.ShapePalette,2059
C/C.util.palette.SizePalette,2291
C/C.util.Property,5559
C/C.util.Shapes,19118
C/C.util.Sort,6887
C/C.util.Stats,6557
C/C.util.Strings,22026
C/C.vis,
C/C.vis.axis,
C/C.vis.axis.Axes,1302
C/C.vis.axis.Axis,24593
C/C.vis.axis.AxisGridLine,652
C/C.vis.axis.AxisLabel,636
C/C.vis.axis.CartesianAxes,6703
C/C.vis.controls,
C/C.vis.controls.AnchorControl,2138
C/C.vis.controls.ClickControl,3824
C/C.vis.controls.Control,1353
C/C.vis.controls.ControlList,4665
C/C.vis.controls.DragControl,2649
C/C.vis.controls.ExpandControl,2832
C/C.vis.controls.HoverControl,4896
C/C.vis.controls.IControl,763
C/C.vis.controls.PanZoomControl,5222
C/C.vis.controls.SelectionControl,7862
C/C.vis.controls.TooltipControl,8435
C/C.vis.data,
C/C.vis.data.Data,20544
C/C.vis.data.DataList,19788
C/C.vis.data.DataSprite,10349
C/C.vis.data.EdgeSprite,3301
C/C.vis.data.NodeSprite,19382
C/C.vis.data.render,
C/C.vis.data.render.ArrowType,698
C/C.vis.data.render.EdgeRenderer,5569
C/C.vis.data.render.IRenderer,353
C/C.vis.data.render.ShapeRenderer,2247
C/C.vis.data.ScaleBinding,11275
C/C.vis.data.Tree,7147
C/C.vis.data.TreeBuilder,9930
C/C.vis.events,
C/C.vis.events.DataEvent,2313
C/C.vis.events.SelectionEvent,1880
C/C.vis.events.TooltipEvent,1701
C/C.vis.events.VisualizationEvent,1117
C/C.vis.legend,
C/C.vis.legend.Legend,20859
C/C.vis.legend.LegendItem,4614
C/C.vis.legend.LegendRange,10530
C/C.vis.operator,
C/C.vis.operator.distortion,
C/C.vis.operator.distortion.BifocalDistortion,4461
C/C.vis.operator.distortion.Distortion,6314
C/C.vis.operator.distortion.FisheyeDistortion,3444
C/C.vis.operator.encoder,
C/C.vis.operator.encoder.ColorEncoder,3179
C/C.vis.operator.encoder.Encoder,4060
C/C.vis.operator.encoder.PropertyEncoder,4138
C/C.vis.operator.encoder.ShapeEncoder,1690
C/C.vis.operator.encoder.SizeEncoder,1830
C/C.vis.operator.filter,
C/C.vis.operator.filter.FisheyeTreeFilter,5219
C/C.vis.operator.filter.GraphDistanceFilter,3165
C/C.vis.operator.filter.VisibilityFilter,3509
C/C.vis.operator.IOperator,1286
C/C.vis.operator.label,
C/C.vis.operator.label.Labeler,9956
C/C.vis.operator.label.RadialLabeler,3899
C/C.vis.operator.label.StackedAreaLabeler,3202
C/C.vis.operator.layout,
C/C.vis.operator.layout.AxisLayout,6725
C/C.vis.operator.layout.BundledEdgeRouter,3727
C/C.vis.operator.layout.CircleLayout,9317
C/C.vis.operator.layout.CirclePackingLayout,12003
C/C.vis.operator.layout.DendrogramLayout,4853
C/C.vis.operator.layout.ForceDirectedLayout,8411
C/C.vis.operator.layout.IcicleTreeLayout,4864
C/C.vis.operator.layout.IndentedTreeLayout,3174
C/C.vis.operator.layout.Layout,7881
C/C.vis.operator.layout.NodeLinkTreeLayout,12870
C/C.vis.operator.layout.PieLayout,2728
C/C.vis.operator.layout.RadialTreeLayout,12348
C/C.vis.operator.layout.RandomLayout,870
C/C.vis.operator.layout.StackedAreaLayout,9121
C/C.vis.operator.layout.TreeMapLayout,9191
C/C.vis.operator.Operator,2490
C/C.vis.operator.OperatorList,5248
C/C.vis.operator.OperatorSequence,4190
C/C.vis.operator.OperatorSwitch,2581
C/C.vis.operator.SortOperator,2023
C/C.vis.Visualization,16540
